congress,party_code,nominate_dim1
40,200,0.312
40,200,0.365
40,200,0.256
40,200,0.43
40,200,0.288
40,200,0.363
40,200,0.313
40,200,0.386
40,200,0.304
40,200,0.39
40,100,-0.159
40,200,0.382
40,100,-0.254
40,100,-0.187
40,100,-0.263
40,100,-0.148
40,200,0.338
40,100,-0.307
40,200,0.319
40,200,0.361
40,200,0.19
40,200,0.282
40,200,0.342
40,100,-0.255
40,100,-0.545
40,200,0.016
40,200,0.191
40,100,-0.443
40,200,0.238
40,200,0.286
40,200,0.193
40,200,0.185
40,200,0.197
40,200,0.265
40,200,0.215
40,100,-0.297
40,200,0.308
40,100,-0.365
40,200,0.259
40,200,0.307
40,200,0.305
40,100,-0.287
40,200,0.273
40,200,0.29
40,100,-0.434
40,100,-0.374
40,200,0.233
40,200,0.328
40,200,0.171
40,200,0.351
40,200,0.314
40,200,0.306
40,200,0.31
40,200,0.286
40,200,0.346
40,200,0.305
40,200,0.336
40,100,-0.532
40,100,-0.484
40,100,-0.42
40,100,-0.448
40,100,-0.714
40,100,-0.519
40,100,-0.548
40,200,0.234
40,100,-0.412
40,200,0.306
40,100,
40,200,0.322
40,200,0.291
40,200,0.409
40,200,0.269
40,200,0.341
40,200,0.372
40,200,0.253
40,200,0.272
40,100,-0.352
40,100,-0.347
40,100,-0.401
40,200,-0.088
40,200,0.389
40,200,0.353
40,200,0.304
40,200,0.386
40,200,0.321
40,200,0.285
40,200,0.451
40,200,0.422
40,200,0.386
40,200,0.316
40,200,0.343
40,200,0.209
40,200,0.406
40,200,0.315
40,200,0.308
40,200,0.406
40,200,0.357
40,200,0.319
40,200,0.268
40,200,0.23
40,200,0.21
40,200,0.257
40,200,0.376
40,100,-0.208
40,200,0.212
40,100,-0.31
40,200,0.263
40,200,0.331
40,200,0.348
40,200,0.288
40,200,0.221
40,200,0.474
40,200,0.398
40,200,0.383
40,100,-0.392
40,200,0.295
40,200,0.26
40,200,0.353
40,100,-0.283
40,200,0.304
40,100,-0.225
40,100,-0.167
40,100,-0.258
40,200,0.401
40,200,0.275
40,200,0.37
40,200,0.393
40,100,-0.61
40,200,0.196
40,200,0.373
40,100,-0.361
40,200,0.549
40,200,0.297
40,200,0.296
40,200,0.376
40,200,0.394
40,200,0.363
40,100,-0.259
40,200,0.406
40,100,-0.324
40,200,0.338
40,100,-0.278
40,100,-0.26
40,200,0.433
40,200,0.446
40,200,0.176
40,200,0.336
40,100,-0.27
40,200,0.131
40,200,0.125
40,200,0.351
40,200,0.29
40,200,0.244
40,200,0.29
40,200,0.446
40,200,0.154
40,200,0.263
40,200,0.175
40,200,0.27
40,200,0.257
40,200,0.319
40,200,0.205
40,200,0.292
40,200,0.2
