congress,party_code,nominate_dim1,nominate_dim2
40,200,0.283,0.959
40,200,0.259,0.493
40,200,0.252,0.968
40,200,0.245,0.97
40,200,0.29,-0.19
40,200,0.328,0.036
40,200,0.108,-0.228
40,200,0.178,-0.476
40,100,-0.351,0.517
40,100,-0.275,0.418
40,100,-0.516,0.265
40,200,0.435,0.901
40,200,0.394,0.876
40,200,0.127,-0.081
40,200,0.278,0.487
40,100,-0.436,0.182
40,200,0.306,0.38
40,200,0.171,0.033
40,200,0.335,0.183
40,200,0.357,0.235
40,200,0.065,0.617
40,100,-0.121,0.638
40,100,-0.524,-0.279
40,100,-0.881,-0.03
40,200,0.197,0.468
40,200,0.245,0.729
40,200,0.244,-0.438
40,200,0.306,-0.598
40,100,-0.091,0.035
40,100,-0.797,-0.362
40,100,-0.425,-0.815
40,200,0.342,-0.244
40,200,0.332,-0.22
40,200,0.601,0.059
40,200,0.425,0.203
40,200,-0.138,0.13
40,200,0.339,0.296
40,200,0.37,0.182
40,200,0.025,0.206
40,200,0.437,0.9
40,200,0.093,0.476
40,200,0.402,0.287
40,200,0.252,0.215
40,200,0.344,-0.309
40,200,0.29,-0.438
40,200,0.33,-0.333
40,200,0.332,-0.628
40,200,0.306,-0.39
40,200,0.3,-0.727
40,200,0.29,0.836
40,200,0.231,0.973
40,200,0.235,-0.35
40,200,0.564,0.134
40,200,0.291,-0.176
40,200,0.292,-0.242
40,100,-0.43,0.051
40,200,0.275,-0.163
40,200,0.286,-0.725
40,200,0.122,0.024
40,200,0.128,0.44
40,200,0.224,0.372
40,200,-0.135,0.991
40,100,-0.289,0.45
40,200,0.274,-0.962
40,200,0.311,-0.773
40,200,0.025,-0.109
40,200,0.06,-0.037
40,200,-0.006,-0.617
40,200,0.315,-0.119
41,200,0.283,0.959
41,200,0.259,0.493
41,200,0.252,0.968
41,200,0.245,0.97
41,100,-0.495,-0.136
41,200,0.29,-0.19
41,200,0.3,-0.725
41,200,0.178,-0.476
41,100,-0.412,-0.656
41,100,-0.516,0.265
41,200,0.34,-0.042
41,200,0.435,0.901
41,200,-0.054,0.414
41,100,-0.638,0.342
41,200,0.127,-0.081
41,200,0.278,0.487
41,200,0.306,0.38
41,200,0.252,0.03
41,200,0.171,0.033
41,200,0.335,0.183
41,200,0.273,-0.17
41,200,0.357,0.235
41,200,0.065,0.617
41,100,-0.121,0.638
41,100,-0.881,-0.03
41,200,0.197,0.468
41,200,0.245,0.729
41,200,0.244,-0.438
41,200,0.195,-0.981
41,200,0.306,-0.598
41,100,-0.672,-0.712
41,100,-0.797,-0.362
41,200,0.342,-0.244
41,200,0.332,-0.22
41,200,0.601,0.059
41,200,0.425,0.203
41,100,-0.138,0.13
41,200,0.339,0.296
41,200,0.3,-0.067
41,200,0.319,-0.065
41,200,0.351,-0.178
41,200,0.38,0.706
41,100,0.004,-0.223
41,200,0.37,0.182
41,200,,
41,200,0.022,-0.343
41,200,0.437,0.9
41,200,0.093,0.476
41,200,0.402,0.287
41,200,0.252,0.215
41,200,0.344,-0.309
41,200,0.29,-0.438
41,200,0.33,-0.333
41,100,-0.369,-0.295
41,200,0.306,-0.39
41,200,0.183,-0.553
41,200,0.29,0.836
41,200,0.231,0.973
41,200,0.235,-0.35
41,100,-0.374,-0.246
41,200,0.291,-0.176
41,200,0.292,-0.242
41,200,0.275,-0.163
41,200,0.272,-0.283
41,200,0.286,-0.725
41,200,0.122,0.024
41,200,0.128,0.44
41,200,0.224,0.372
41,200,0.363,0.35
41,200,-0.135,0.991
41,200,0.308,0.29
41,200,0.1,-0.416
41,200,0.274,-0.962
41,200,0.311,-0.773
41,100,-0.42,0.069
